,customer-lifetime-value,income,monthly-premium-auto,number-of-open-complaints,total-claim-amount
993,2017196,24804,73,0,350
994,1646436,27760,104,0,302
995,559538,74454,71,0,340
996,417068,29462,107,1,513
997,266544,52266,68,0,141
998,709891,0,70,0,349
999,397134,23599,103,0,494
1000,552821,36088,72,0,345
1001,833899,70534,104,0,54
1002,3844585,27398,125,1,600
1003,544855,85296,68,0,342
1004,1080806,31063,92,0,441
1005,618509,0,92,0,1027
1006,320822,52367,81,0,275
1007,548010,58651,71,0,472
1008,2298615,84831,192,0,1336
1009,1310792,49088,114,1,547
1010,746292,70263,93,0,7
1011,1146399,45354,285,0,540
1012,723613,0,63,0,383
1013,623268,28334,83,0,537
1014,2839332,38772,90,0,321
1015,374675,41479,94,1,19
1016,2156933,23909,119,0,571
1017,501208,48328,63,0,108
1018,337185,86689,85,0,408
1019,386477,24204,99,1,707
1020,414571,25943,110,0,1067
1021,515607,0,73,0,807
1022,366737,62375,92,0,618
1023,783568,0,71,0,404
1024,1456726,0,148,0,710
1025,1017133,70200,65,0,312
1026,413577,0,112,0,707
1027,551149,79027,70,0,336
1028,1131424,62935,141,0,232
1029,541461,26893,68,0,68
1030,742159,47406,94,1,287
1031,445811,17622,65,1,312
1032,1447612,27572,124,0,595
1033,493688,0,72,2,391
1034,452527,32802,114,0,547
1035,558176,62739,70,0,239
1036,1413434,90844,118,0,232
1037,2472318,44685,69,0,331
1038,283806,0,80,0,336
1039,384848,42589,98,0,470
1040,1950447,0,72,0,345
1041,248004,93383,62,0,244
1042,436137,79583,109,2,523
1043,252907,89129,64,0,328
1044,250444,0,69,0,496
1045,864970,94389,107,0,85
1046,1366835,0,197,0,1418
1047,2063508,84106,64,0,334
1048,251753,0,69,0,42
1049,532667,76717,66,0,300
1050,260027,51978,66,0,144
1051,853479,47325,107,0,64
1052,882883,86721,111,0,532
1053,224844,24910,63,1,347
1054,1230276,43817,62,1,245
1055,455659,0,73,2,525
1056,253070,89451,63,0,61
1057,525198,59537,66,0,316
1058,674311,0,199,0,955
1059,1401472,54193,117,0,720
1060,943891,86946,118,0,340
1061,1050677,0,92,0,546
1062,421391,12160,109,0,489
1063,477368,33701,63,0,171
1064,544142,85702,67,0,249
1065,284226,69417,73,1,30
1066,305955,38644,78,1,361
1067,2031499,63209,102,2,207
1068,323912,16061,88,0,633
1069,462680,79487,114,0,547
1070,899704,54230,112,0,537
